hour,minute,second,sensor_data
2,8,52,"[23.75, 23.5, 23.75, 24.25, 24.0, 24.5, 24.75, 24.5, 23.5, 23.25, 23.5, 24.25, 24.0, 24.5, 24.75, 24.5, 23.75, 23.5, 24.0, 23.75, 24.0, 24.0, 24.5, 24.25, 24.0, 24.25, 24.25, 24.25, 24.25, 24.5, 24.75, 24.25, 24.25, 24.0, 24.0, 24.0, 24.0, 24.75, 24.75, 25.0, 23.5, 23.5, 24.0, 24.25, 24.25, 24.25, 24.5, 23.75, 24.0, 23.25, 23.75, 24.25, 23.5, 24.0, 24.25, 24.25, 23.5, 23.0, 23.5, 23.25, 23.25, 24.5, 24.75, 23.0]"
2,8,52,"[23.75, 23.25, 23.5, 23.5, 24.25, 24.75, 24.5, 24.0, 23.25, 23.25, 23.5, 23.75, 24.0, 24.25, 24.25, 24.5, 24.25, 23.25, 24.5, 24.25, 24.25, 24.25, 24.25, 24.5, 24.25, 24.25, 24.25, 24.25, 24.5, 24.5, 24.5, 24.75, 24.0, 24.25, 24.0, 24.0, 24.75, 24.5, 24.75, 24.5, 23.5, 24.0, 23.75, 23.75, 24.0, 24.75, 24.5, 24.5, 23.75, 23.25, 23.5, 24.0, 24.0, 24.0, 24.0, 24.5, 23.25, 24.0, 23.5, 22.75, 23.25, 23.75, 24.0, 23.5]"
2,8,52,"[23.25, 23.5, 23.5, 23.5, 24.0, 24.25, 24.0, 24.25, 23.75, 23.0, 23.25, 24.25, 23.75, 24.0, 24.25, 24.5, 23.75, 23.5, 23.75, 23.75, 24.0, 24.0, 24.5, 24.75, 24.25, 24.25, 24.25, 24.75, 24.0, 25.0, 25.0, 24.5, 24.5, 23.75, 24.0, 23.5, 24.75, 24.25, 24.5, 24.75, 23.25, 23.75, 23.5, 24.25, 24.5, 24.25, 24.75, 24.25, 24.25, 24.0, 23.5, 23.5, 24.25, 24.0, 23.75, 24.5, 23.5, 24.25, 23.25, 23.0, 24.0, 23.0, 24.75, 23.75]"
2,8,53,"[23.75, 23.25, 23.75, 23.5, 24.5, 24.75, 24.0, 24.25, 23.75, 23.5, 23.25, 23.75, 24.0, 24.5, 24.25, 24.5, 23.75, 23.5, 24.25, 23.75, 24.0, 24.0, 24.5, 24.5, 24.25, 24.25, 24.0, 24.0, 24.25, 24.5, 24.5, 24.5, 23.75, 23.75, 24.25, 23.75, 24.5, 24.5, 25.0, 24.5, 23.5, 23.5, 23.75, 23.75, 24.0, 24.75, 24.25, 24.5, 23.5, 23.75, 23.5, 23.75, 24.0, 24.0, 24.0, 24.0, 24.0, 23.75, 23.75, 23.0, 23.75, 24.0, 24.25, 23.75]"
2,8,53,"[24.25, 23.5, 23.75, 23.75, 24.25, 24.75, 24.25, 24.5, 24.0, 23.5, 23.25, 24.25, 24.0, 24.5, 24.25, 24.0, 23.5, 23.0, 24.25, 23.75, 23.75, 23.75, 24.25, 24.0, 24.0, 24.0, 23.5, 24.25, 24.25, 24.5, 24.5, 24.0, 24.25, 24.25, 23.75, 24.0, 24.5, 24.25, 24.0, 24.25, 23.0, 23.25, 23.75, 23.75, 24.25, 24.5, 24.25, 24.0, 24.0, 23.0, 23.5, 23.25, 24.0, 24.5, 23.5, 24.75, 23.0, 23.75, 23.5, 23.0, 23.25, 23.5, 23.75, 22.75]"
2,8,53,"[23.5, 23.0, 24.0, 24.0, 24.25, 24.5, 24.25, 24.25, 23.75, 23.25, 23.25, 24.25, 23.75, 24.5, 24.25, 24.5, 23.5, 23.75, 24.0, 24.0, 24.25, 24.25, 24.5, 24.5, 23.5, 24.0, 23.75, 24.5, 24.25, 24.75, 24.0, 24.75, 24.5, 24.0, 23.75, 24.0, 24.75, 24.5, 24.5, 24.75, 23.25, 23.75, 23.75, 23.75, 24.0, 24.5, 24.0, 24.25, 23.75, 24.0, 23.25, 23.5, 24.0, 24.0, 24.25, 24.5, 23.0, 23.5, 23.5, 23.5, 23.5, 24.0, 24.75, 24.25]"
2,8,53,"[23.5, 23.25, 23.5, 24.0, 24.0, 24.25, 24.25, 24.0, 23.5, 23.25, 24.0, 23.75, 24.25, 24.75, 24.75, 24.75, 23.5, 23.25, 24.0, 23.75, 24.25, 24.25, 24.5, 24.75, 24.0, 24.0, 23.75, 24.5, 24.5, 25.0, 25.0, 24.75, 24.5, 23.75, 24.0, 24.0, 24.0, 24.25, 24.75, 24.75, 23.25, 23.5, 23.5, 24.25, 24.25, 24.5, 24.5, 24.25, 23.5, 23.0, 23.5, 23.75, 23.75, 24.0, 24.25, 24.25, 24.0, 23.75, 24.0, 23.5, 23.75, 24.5, 24.25, 24.0]"
2,8,53,"[24.25, 23.25, 23.75, 23.5, 23.75, 24.75, 24.0, 24.25, 23.5, 23.75, 23.5, 24.25, 24.0, 24.25, 24.75, 24.75, 23.25, 23.0, 24.0, 23.75, 24.5, 24.5, 24.5, 24.75, 24.0, 24.25, 24.0, 24.25, 24.25, 25.0, 24.75, 23.5, 24.75, 24.0, 24.0, 24.0, 24.5, 24.5, 24.5, 25.0, 23.25, 23.5, 23.75, 24.0, 24.25, 24.5, 24.0, 24.5, 23.75, 23.75, 23.75, 23.5, 23.75, 23.75, 24.0, 24.25, 23.25, 23.25, 23.25, 22.75, 23.75, 23.5, 24.0, 23.5]"
2,8,54,"[23.25, 23.5, 23.75, 24.5, 24.25, 24.5, 24.25, 24.25, 23.5, 23.25, 23.5, 24.5, 24.25, 24.5, 24.25, 24.5, 23.25, 23.25, 24.0, 23.5, 24.5, 24.25, 24.5, 24.75, 24.25, 24.0, 24.25, 24.0, 24.25, 24.5, 24.75, 24.25, 24.5, 24.0, 24.0, 24.25, 24.5, 24.75, 24.5, 24.5, 23.5, 23.5, 23.5, 24.0, 24.25, 24.75, 25.0, 24.5, 24.0, 24.0, 23.5, 24.5, 23.75, 23.75, 24.25, 24.75, 23.75, 23.25, 24.0, 23.75, 23.75, 24.0, 24.25, 23.5]"
2,8,54,"[23.75, 22.75, 23.75, 23.75, 24.0, 24.5, 24.25, 24.0, 23.0, 23.0, 23.0, 23.5, 24.0, 24.25, 24.25, 23.5, 24.0, 23.5, 24.25, 24.25, 24.25, 24.0, 24.25, 24.25, 23.75, 24.5, 24.0, 23.75, 24.25, 24.0, 24.0, 24.25, 24.0, 23.75, 24.0, 24.0, 24.75, 24.25, 24.5, 24.25, 24.0, 23.75, 23.5, 24.0, 24.25, 24.5, 24.25, 24.0, 23.5, 23.75, 23.25, 24.25, 23.75, 24.5, 24.0, 24.0, 23.75, 24.0, 23.0, 23.25, 23.75, 23.5, 24.0, 23.75]"
